year,itl22cd,nc_year,projected_proportion_continuing
2023,TLK1,year_group_10,1.00097233910206
2024,TLK1,year_group_10,1.00097233910206
2025,TLK1,year_group_10,1.00097233910206
2026,TLK1,year_group_10,1.00097233910206
2027,TLK1,year_group_10,1.00097233910206
2028,TLK1,year_group_10,1.00097233910206
2029,TLK1,year_group_10,1.00097233910206
2030,TLK1,year_group_10,1.00097233910206
2031,TLK1,year_group_10,1.00097233910206
2032,TLK1,year_group_10,1.00097233910206
2023,TLK2,year_group_10,0.996059101741881
2024,TLK2,year_group_10,0.996059101741881
2025,TLK2,year_group_10,0.996059101741881
2026,TLK2,year_group_10,0.996059101741881
2027,TLK2,year_group_10,0.996059101741881
2028,TLK2,year_group_10,0.996059101741881
2029,TLK2,year_group_10,0.996059101741881
2030,TLK2,year_group_10,0.996059101741881
2031,TLK2,year_group_10,0.996059101741881
2032,TLK2,year_group_10,0.996059101741881
2023,TLK3,year_group_10,0.997810498787153
2024,TLK3,year_group_10,0.997810498787153
2025,TLK3,year_group_10,0.997810498787153
2026,TLK3,year_group_10,0.997810498787153
2027,TLK3,year_group_10,0.997810498787153
2028,TLK3,year_group_10,0.997810498787153
2029,TLK3,year_group_10,0.997810498787153
2030,TLK3,year_group_10,0.997810498787153
2031,TLK3,year_group_10,0.997810498787153
2032,TLK3,year_group_10,0.997810498787153
2023,TLK4,year_group_10,0.985215701915766
2024,TLK4,year_group_10,0.985215701915766
2025,TLK4,year_group_10,0.985215701915766
2026,TLK4,year_group_10,0.985215701915766
2027,TLK4,year_group_10,0.985215701915766
2028,TLK4,year_group_10,0.985215701915766
2029,TLK4,year_group_10,0.985215701915766
2030,TLK4,year_group_10,0.985215701915766
2031,TLK4,year_group_10,0.985215701915766
2032,TLK4,year_group_10,0.985215701915766
2023,TLC1,year_group_11,0.983512898506965
2024,TLC1,year_group_11,0.983512898506965
2025,TLC1,year_group_11,0.983512898506965
2026,TLC1,year_group_11,0.983512898506965
2027,TLC1,year_group_11,0.983512898506965
2028,TLC1,year_group_11,0.983512898506965
2029,TLC1,year_group_11,0.983512898506965
2030,TLC1,year_group_11,0.983512898506965
2031,TLC1,year_group_11,0.983512898506965
2032,TLC1,year_group_11,0.983512898506965
2023,TLC2,year_group_11,0.990433847867248
2024,TLC2,year_group_11,0.990433847867248
2025,TLC2,year_group_11,0.990433847867248
2026,TLC2,year_group_11,0.990433847867248
2027,TLC2,year_group_11,0.990433847867248
2028,TLC2,year_group_11,0.990433847867248
2029,TLC2,year_group_11,0.990433847867248
2030,TLC2,year_group_11,0.990433847867248
2031,TLC2,year_group_11,0.990433847867248
2032,TLC2,year_group_11,0.990433847867248
2023,TLD1,year_group_11,0.98202362312399
2024,TLD1,year_group_11,0.98202362312399
2025,TLD1,year_group_11,0.98202362312399
