year,itl22cd,nc_year,headcount,previous_headcount,proportion_continuing
2022,TLC1,year_group_6,14451,14320,1.00914804469274
2022,TLC1,year_group_7,14271,14591,0.97806867246933
2022,TLC1,year_group_8,13865,13881,0.998847345292126
2022,TLC1,year_group_9,13208,13235,0.997959954665659
2012,TLD7,year_group_1,16524,16557,0.998006885305309
2012,TLD7,year_group_10,16305,16271,1.00208960727675
2012,TLD7,year_group_11,16900,17129,0.986630859945122
2012,TLD7,year_group_12,7782,16680,0.466546762589928
2012,TLD7,year_group_13,5992,7793,0.768895162325164
2012,TLD7,year_group_14,74,5962,0.0124119423012412
2012,TLD7,year_group_2,16545,16590,0.997287522603978
2012,TLD7,year_group_3,16041,16104,0.996087928464978
2012,TLD7,year_group_4,15762,15828,0.995830174374526
2012,TLD7,year_group_5,15395,15480,0.994509043927649
2012,TLD7,year_group_6,15052,15119,0.995568489979496
2012,TLD7,year_group_7,15159,15401,0.984286734627622
2012,TLD7,year_group_8,15396,15407,0.999286038813526
2012,TLD7,year_group_9,16036,16073,0.997698002861942
2013,TLD7,year_group_1,17296,17174,1.00710376149994
2013,TLD7,year_group_10,16219,16036,1.01141182339736
2013,TLD7,year_group_11,15986,16305,0.980435449248697
2013,TLD7,year_group_12,8258,16900,0.488639053254438
2013,TLD7,year_group_13,5950,7782,0.764584939604215
2013,TLD7,year_group_14,67,5992,0.0111815754339119
2013,TLD7,year_group_2,16604,16524,1.00484144274994
2013,TLD7,year_group_3,16587,16545,1.00253853127833
2013,TLD7,year_group_4,16072,16041,1.00193254784614
2013,TLD7,year_group_5,15831,15762,1.00437761705367
2013,TLD7,year_group_6,15439,15395,1.00285807080221
2013,TLD7,year_group_7,14923,15052,0.991429710337497
2013,TLD7,year_group_8,15225,15159,1.0043538491985
2013,TLD7,year_group_9,15408,15396,1.00077942322681
2014,TLD7,year_group_1,16966,16937,1.00171222766724
2014,TLD7,year_group_10,15465,15408,1.00369937694704
2014,TLD7,year_group_11,15855,16219,0.977557186016401
2014,TLD7,year_group_12,7968,15986,0.498436131615163
2014,TLD7,year_group_13,6303,8258,0.763259869217728
2014,TLD7,year_group_14,93,5950,0.0156302521008403
2014,TLD7,year_group_2,17345,17296,1.00283302497687
2014,TLD7,year_group_3,16614,16604,1.00060226451457
2014,TLD7,year_group_4,16607,16587,1.00120576354977
2014,TLD7,year_group_5,16031,16072,0.997448979591837
2014,TLD7,year_group_6,15836,15831,1.00031583601794
2014,TLD7,year_group_7,15255,15439,0.988082129671611
2014,TLD7,year_group_8,14862,14923,0.99591235006366
2014,TLD7,year_group_9,15215,15225,0.999343185550082
2015,TLD7,year_group_1,17294,17207,1.00505608182716
2015,TLD7,year_group_10,15144,15215,0.99533355241538
2015,TLD7,year_group_11,15199,15465,0.982799870675719
2015,TLD7,year_group_12,7559,15855,0.47675812046673
2015,TLD7,year_group_13,6096,7968,0.765060240963855
2015,TLD7,year_group_14,88,6303,0.0139616055846422
2015,TLD7,year_group_2,16992,16966,1.00153247671814
2015,TLD7,year_group_3,17369,17345,1.00138368405881
2015,TLD7,year_group_4,16637,16614,1.00138437462381
2015,TLD7,year_group_5,16631,16607,1.00144517372192
2015,TLD7,year_group_6,16087,16031,1.00349323186327
2015,TLD7,year_group_7,15663,15836,0.989075524122253
2015,TLD7,year_group_8,15274,15255,1.00124549328089
2015,TLD7,year_group_9,14869,14862,1.00047099986543
2016,TLD7,year_group_1,17727,17660,1.00379388448471
2016,TLD7,year_group_10,14832,14869,0.997511601318179
2016,TLD7,year_group_11,14702,15144,0.97081352350766
2016,TLD7,year_group_12,7220,15199,0.475031252056056
2016,TLD7,year_group_13,6100,7559,0.806985050932663
2016,TLD7,year_group_14,71,6096,0.0116469816272966
2016,TLD7,year_group_2,17375,17294,1.00468370533133
2016,TLD7,year_group_3,17079,16992,1.00512005649718
2016,TLD7,year_group_4,17429,17369,1.00345443030687
2016,TLD7,year_group_5,16651,16637,1.0008414978662
2016,TLD7,year_group_6,16695,16631,1.00384823522338
2016,TLD7,year_group_7,15850,16087,0.985267607384845
2016,TLD7,year_group_8,15654,15663,0.999425397433442
2016,TLD7,year_group_9,15223,15274,0.996660992536336
2017,TLD7,year_group_1,18040,18044,0.999778319663046
2017,TLD7,year_group_10,15199,15223,0.998423438218485
2017,TLD7,year_group_11,14488,14832,0.97680690399137
2017,TLD7,year_group_12,6639,14702,0.451571214800707
2017,TLD7,year_group_13,5660,7220,0.78393351800554
2017,TLD7,year_group_14,33,6100,0.00540983606557377
2017,TLD7,year_group_2,17757,17727,1.00169233372821
