year,itl22cd,mean_projection,upper_pi,lower_pi
2028,TLF2,18862.0988308599,20005.5114275178,17833.9961905794
2029,TLF2,19519.2299774305,20805.1251790517,18373.3489540548
2030,TLF2,19111.2534370255,20587.4486391609,17827.1575923317
2031,TLF2,18827.2475695347,20399.6645865573,17457.8880254672
2032,TLF2,18547.4622170947,20212.6386994962,17099.0239587525
2023,TLG1,14685.792112496,15069.5413354913,14342.0412820474
2024,TLG1,14580.7738412864,15170.3252039068,14029.537674149
2025,TLG1,14162.4671818185,14803.1646798787,13504.9690141874
2026,TLG1,13893.8808410521,14602.0955711429,13178.8267594897
2027,TLG1,13378.0782577525,14131.3055993549,12617.5419399345
2028,TLG1,13292.811889058,14121.2968115708,12466.6559250221
2029,TLG1,13520.5914246838,14450.6924650476,12615.4470552614
2030,TLG1,13191.1618091069,14188.5446510322,12211.9400683914
2031,TLG1,13042.0293135409,14101.5235935153,11997.1191476142
2032,TLG1,12894.5828333203,14015.0362531286,11786.0771879941
2023,TLG2,17755.348983767,18304.5249205797,17269.2710004772
2024,TLG2,17623.8271438314,18416.0601648852,16819.5643354767
2025,TLG2,16776.5254020882,17626.8421080973,15859.7948564871
2026,TLG2,16327.8391210954,17246.9536393928,15324.8859843417
2027,TLG2,16276.2559510448,17284.5719956373,15159.2507735205
2028,TLG2,15916.8820794707,17007.7072844737,14725.5839187407
2029,TLG2,16119.4617988017,17329.7909943205,14810.4054966941
2030,TLG2,15673.5210895243,16950.4514679986,14312.9557883934
2031,TLG2,15463.0065392122,16831.0681931852,14022.0131639353
2032,TLG2,15255.319456681,16700.2155646893,13736.9845971139
2023,TLK1,27599.6807237664,28280.4107635721,26908.3430806036
2024,TLK1,27087.13414244,28228.4562767952,26103.653453809
2025,TLK1,25460.1542286539,26668.4048482955,24425.8808057285
2026,TLK1,24413.2649415912,25706.021973982,23316.501038076
2027,TLK1,23396.5856542604,24751.6666008697,22250.7966317117
2028,TLK1,22787.7683009923,24227.6294802738,21579.9784977663
2029,TLK1,22809.3228930476,24369.5805428565,21500.6789922522
2030,TLK1,22188.158943934,23821.3091844931,20756.9150256588
2031,TLK1,21649.2727487588,23366.8597547904,20171.2893505889
2032,TLK1,21123.4745403825,22929.6328732706,19550.8784799566
2023,TLK4,11808.459391386,12027.6975317304,11548.8597422047
2024,TLK4,11572.5935802256,11912.7307485041,11162.9393603333
2025,TLK4,10684.2077430936,11095.3074710361,10239.6306153787
2026,TLK4,10398.3980304697,10846.1880233262,9914.45548966051
2027,TLK4,9845.17379469768,10314.9363683726,9339.2067758476
2028,TLK4,9553.9222112083,10054.2057611532,9024.70145366418
2029,TLK4,9604.96656997173,10150.3171263934,9019.27003829483
2030,TLK4,9238.60933049268,9838.5649557262,8617.05899744601
2031,TLK4,8983.34910944162,9602.06360633908,8331.42835053619
2032,TLK4,8735.14165771114,9378.84044080297,8053.19632350937
2023,TLH1,27111.5004450796,27881.6785758591,26383.8794895074
2024,TLH1,26658.1708146489,27776.4910495727,25634.5378157715
2025,TLH1,24581.6493196787,25829.9158669375,23464.7653164035
2026,TLH1,23298.1555190107,24634.5245780348,22110.6088855063
2027,TLH1,22610.032353576,24056.499533274,21342.5129811428
2028,TLH1,21515.4339781404,23025.4984043562,20200.8517049235
2029,TLH1,21937.9795207382,23621.9733074481,20474.8118253239
2030,TLH1,21201.2923107914,23024.7671969874,19632.8425113845
2031,TLH1,20635.7707253904,22580.6043143373,18969.1006005746
2032,TLH1,20085.3338177943,22132.181727716,18354.1144765314
2023,TLH2,23255.9587419576,23779.5984933047,22756.0177470441
2024,TLH2,22874.6863904958,23790.6499652392,22115.0602675608
2025,TLH2,21669.6435768575,22734.420637336,20803.5204383569
2026,TLH2,20999.8399114759,22160.0844341372,20081.9511343175
2027,TLH2,20571.9728839919,21819.8500630389,19588.0778465335
2028,TLH2,19882.7475671449,21186.2311539244,18841.8387871037
2029,TLH2,20027.2359273583,21457.5526076727,18893.3445150457
2030,TLH2,19649.2576383474,21151.3550098327,18356.0476494605
2031,TLH2,19296.3836362788,20837.2721727689,17904.190060046
2032,TLH2,18949.846772418,20558.382147977,17470.1302644371
2023,TLH3,21897.3792191217,22247.9613405464,21451.4107877661
2024,TLH3,21771.3964100355,22431.3782960979,21125.1277931476
2025,TLH3,21440.5714698588,22178.343239733,20700.0468237964
2026,TLH3,20742.0600477817,21550.0622303915,19935.388421717
2027,TLH3,20322.8147187062,21208.1973717253,19444.9993481468
2028,TLH3,19430.8818451712,20358.228390243,18498.0918827723
2029,TLH3,20308.6525054495,21349.2292143866,19254.9739145467
2030,TLH3,19943.7463033864,21183.1301988694,18739.8512224332
2031,TLH3,19774.2122686584,21082.2913410633,18495.2961293293
2032,TLH3,19606.1193768579,21018.5742850598,18263.0213457477
2023,TLJ4,22002.7084780763,22413.9583249292,21499.814708115
2024,TLJ4,21835.4002901932,22626.1321861162,21105.8275088578
2025,TLJ4,21153.0360053442,22064.5098096472,20362.0629526032
2026,TLJ4,20460.3956747415,21448.856752302,19605.3876862456
2027,TLJ4,19905.4519767031,20951.2145804974,18982.8477340564
2028,TLJ4,19297.8419616238,20423.4874972622,18316.8826316038
2029,TLJ4,19890.5680549151,21143.3232359514,18797.4484288431
2030,TLJ4,19414.7142849769,20838.0024298715,18188.8977294555
2031,TLJ4,19174.9316240799,20668.7612646107,17868.7953862735
2032,TLJ4,18938.1104141536,20536.3440314763,17554.9957434256
2023,TLJ1,29248.8302600117,30053.2035983415,28311.2534762538
2024,TLJ1,28819.3879026511,30044.6768979742,27396.1571277006
2025,TLJ1,26924.9458478983,28241.2920369251,25410.550055772
2026,TLJ1,25906.2302772137,27268.6366728352,24260.8053332838
2027,TLJ1,25311.4134111204,26761.2029076587,23511.6104190907
2028,TLJ1,24784.1126141089,26290.7416003153,22847.9743268757
2029,TLJ1,25220.2190899925,26869.3655071683,23075.2952516504
2030,TLJ1,24181.7060475453,25966.6934231063,21989.7140432814
2031,TLJ1,23690.9352064736,25583.8419934584,21371.5417923578
2032,TLJ1,23210.124622878,25206.6248680477,20771.0837890273
2023,TLJ2,29745.8345468261,30286.5340942288,28745.8190336847
2024,TLJ2,29056.2584239318,30024.9895709386,27758.3013723549
2025,TLJ2,27210.0703137939,28245.4533476828,25867.6170908826
2026,TLJ2,26251.6820454494,27363.4861923979,24837.2728175277
2027,TLJ2,25258.9681459708,26431.1370705691,23776.4966987575
2028,TLJ2,24503.5498246441,25745.3819030246,22924.056775588
2029,TLJ2,24833.2963828895,26206.5140597565,23096.0292212798
2030,TLJ2,23855.9612786797,25383.4904071445,22056.3657016059
2031,TLJ2,23265.7736876486,24864.5170489153,21384.6071373344
2032,TLJ2,22690.1871176596,24366.4133206212,20725.2014642287
2023,TLJ3,21401.8346558705,21801.1440606048,20932.2423425157
2024,TLJ3,21031.2240435809,21660.3882096223,20348.0324264884
2025,TLJ3,19373.7707019848,20058.1335636619,18664.6214664523
2026,TLJ3,18904.5635751772,19654.4502155175,18111.0310222433
2027,TLJ3,18431.0035344898,19229.1880444833,17575.5788860617
2028,TLJ3,17838.0545517927,18682.076992094,16926.2769776185
2029,TLJ3,17859.7132644261,18768.5513613036,16863.0985664131
2030,TLJ3,17234.1256895435,18272.1243591539,16226.3922914877
2031,TLJ3,16811.5665219206,17901.557628005,15755.2626765367
2032,TLJ3,16399.367975623,17538.3390560438,15286.3470336558
2023,TLK3,5575.40298748073,5754.09738397533,5435.33420861132
2024,TLK3,5415.68654780444,5654.84778903805,5196.76212710263
2025,TLK3,5084.87145550685,5334.69243556078,4838.64595183827
2026,TLK3,4760.93563899458,5024.3223431604,4497.00039170744
2027,TLK3,4550.75634772322,4836.13572401869,4272.53066425254
2028,TLK3,4458.03905526755,4770.18954544132,4161.42485030723
2029,TLK3,4442.05431406458,4778.10610097297,4121.53338731102
2030,TLK3,4227.31142192516,4572.03554743024,3884.4360672412
2031,TLK3,4089.15549770777,4452.55327848088,3733.54478257009
2032,TLK3,3955.5147505122,4335.0656896747,3587.91703935528
