year,itl22cd,mean_projection,upper_pi,lower_pi
2032,TLK1,21918.2018762525,23304.0489460559,20404.8366618533
2023,TLK4,11855.2029170074,12114.0989039418,11578.7499307507
2024,TLK4,10997.696512029,11325.6610135283,10673.709704041
2025,TLK4,10754.9144700951,11112.7038106846,10389.8675605023
2026,TLK4,10231.6347239947,10605.7089576253,9843.73104951382
2027,TLK4,9976.64358898647,10374.2752328169,9553.35631611094
2028,TLK4,10078.1247709614,10512.2097433995,9614.1220520272
2029,TLK4,9740.28338125811,10210.0716690128,9231.98349364232
2030,TLK4,9516.65627563894,10021.4458729466,8978.31317257541
2031,TLK4,9298.16342334793,9837.96517892978,8731.72682254533
2032,TLK4,9084.68694709486,9648.17180851475,8490.73736632421
2023,TLH1,27120.0550917454,27887.9023191807,26382.8938078304
2024,TLH1,25111.5654210023,26002.951161592,24263.7302330564
2025,TLH1,23899.3921387442,24864.7075652651,22995.7732113267
2026,TLH1,23289.9762763275,24340.3527028501,22335.5432116505
2027,TLH1,22254.6372629753,23363.5945591833,21248.1702343879
2028,TLH1,22786.078190133,24029.7938321151,21659.124743969
2029,TLH1,22112.4995753847,23491.7338344228,20703.47873981
2030,TLH1,21612.1884022946,23089.8335035744,20136.345501705
2031,TLH1,21123.1971285703,22682.3837532141,19597.4164926906
2032,TLH1,20645.2696333642,22282.7589883706,19038.6719495233
2023,TLH2,23302.6532145378,24035.7724027062,22693.0991275614
2024,TLH2,22174.3338968577,22988.0210935104,21468.7450007495
2025,TLH2,21585.5634639774,22449.7156102346,20832.715870273
2026,TLH2,21240.8523597402,22193.2593116189,20440.8339212318
2027,TLH2,20621.5348741465,21624.5340291121,19763.4122551717
2028,TLH2,20864.7984289927,21963.1001870512,19915.9144806904
2029,TLH2,20563.0682863376,21775.5575113867,19446.3996410909
2030,TLH2,20284.5924613073,21563.6381120449,19090.7859419337
2031,TLH2,20009.8879015399,21360.2925079893,18732.1191977783
2032,TLH2,19738.9035345889,21181.0170998464,18388.902531014
2023,TLH3,21879.6367568243,22363.2474272936,21513.2893943856
2024,TLH3,21603.3649399287,22185.3762931426,21113.4755722144
2025,TLH3,20954.0586828467,21566.3190105316,20431.9126970162
2026,TLH3,20584.0747167575,21245.6849772097,20011.0401702859
2027,TLH3,19732.0054177632,20416.4702789184,19134.8396382503
2028,TLH3,20677.167550274,21470.816364283,19994.6481898131
2029,TLH3,20358.5996737095,21408.4303610021,19521.8279303277
2030,TLH3,20238.1857029401,21372.812961604,19341.83285941
2031,TLH3,20118.48393854,21343.5121222187,19147.4281466807
2032,TLH3,19999.4901680583,21307.5014443223,18958.6817753246
2023,TLJ4,22007.4330683702,22573.8896551755,21503.9392868681
2024,TLJ4,21391.1307530826,22019.8544245271,20815.9723876585
2025,TLJ4,20760.0245961853,21429.7045886667,20134.1942563102
2026,TLJ4,20264.6300988868,20992.9929666671,19598.1423676807
2027,TLJ4,19711.8862757798,20481.0126699137,19009.0512173816
2028,TLJ4,20385.4089247205,21252.8136853351,19595.6148256015
2029,TLJ4,19964.3900834958,21036.2937590046,19101.5824569412
2030,TLJ4,19783.8891118958,20938.5282183858,18852.2969950117
2031,TLJ4,19605.0200759878,20847.3122598373,18619.3917170907
2032,TLJ4,19427.7682212026,20774.6738136769,18377.5600338226
2023,TLJ1,29029.2321144145,30002.4137441924,28164.5805003033
2024,TLJ1,27194.6564697396,28379.504496656,26292.9829688136
2025,TLJ1,26236.8023300117,27482.0120481771,25249.3881935231
2026,TLJ1,25704.0183195174,27054.7225111741,24632.6294453876
2027,TLJ1,25236.8962186226,26718.5311114609,24078.0738243773
2028,TLJ1,25750.7193819235,27376.359858533,24458.6676848444
2029,TLJ1,24757.4204294974,26401.0225346753,23412.3086712336
2030,TLJ1,24320.8417796725,26102.0544347731,22893.131540284
2031,TLJ1,23891.9618688186,25802.5222084145,22399.6448921219
2032,TLJ1,23470.6449354142,25479.1323302235,21916.7186235985
2023,TLJ2,29447.3758999985,30206.2229672971,28777.4302551406
