year,itl22cd,mean_projection,upper_pi,lower_pi
2028,TLF1,21449.7412970825,21973.2915409184,21010.0332198338
2029,TLF1,21107.3029406038,21688.5607743905,20630.9183535588
2030,TLF1,20770.3315045119,21403.5515496566,20258.8630184188
2031,TLF1,20438.7397111465,21116.9321614925,19901.4039155234
2032,TLF1,20112.4416762078,20829.3198710636,19535.306087007
2023,TLF2,21695.591762743,22175.2348693383,21072.4060492546
2024,TLF2,20988.2034146105,21504.9429591677,20359.2138684367
2025,TLF2,20780.7369851959,21347.4599847483,20125.8066301573
2026,TLF2,19887.439507572,20482.3635407879,19216.0242362026
2027,TLF2,20736.0379656903,21401.5536282889,19987.3992776669
2028,TLF2,20456.2730914581,21291.5180165759,19555.6429234233
2029,TLF2,20304.7860307782,21211.0494457026,19330.527139272
2030,TLF2,20154.4207936802,21114.0939633236,19118.1329120048
2031,TLF2,20005.1690726022,21017.31631924,18924.3210546476
2032,TLF2,19857.0226215031,20926.617640672,18733.0518962056
2023,TLF3,7356.82793315767,7535.53247505046,7286.06080828367
2024,TLF3,6939.67165706594,7127.00302692938,6865.88105120636
2025,TLF3,6708.65121719941,6903.4878391272,6629.9488684005
2026,TLF3,6459.3179952768,6667.11638453594,6375.83373407794
2027,TLF3,6454.10268009725,6679.49489320096,6361.64334248554
2028,TLF3,6288.41400354179,6681.64241075358,6108.54697468319
2029,TLF3,6141.29507170204,6554.67811348417,5947.23698402133
2030,TLF3,5997.61802204331,6435.36371091627,5794.49877669569
2031,TLF3,5857.3023309185,6318.12893286385,5648.84209292805
2032,TLF3,5720.26935855029,6201.3525273905,5498.99315049971
2023,TLG1,14376.7606663529,14558.7271713991,14190.1666911738
2024,TLG1,14167.664256927,14369.1401280707,13960.0090972545
2025,TLG1,13703.1678924874,13921.71472381,13480.6445287557
2026,TLG1,13677.1832486985,13910.9506868698,13435.9503972829
2027,TLG1,13974.2354382412,14234.7476435897,13706.9335245287
2028,TLG1,13695.1872483397,14088.3529279392,13303.4481523988
2029,TLG1,13601.3701268968,14029.0090225705,13174.5827467454
2030,TLG1,13508.195687596,13971.4997847229,13050.3235590151
2031,TLG1,13415.6595278256,13910.8898604598,12928.0921692777
2032,TLG1,13323.7572751339,13853.7667364227,12800.6325263784
2023,TLG2,17238.1692217914,17380.1432072233,17074.2013485807
2024,TLG2,16869.1603433423,17024.6954402281,16688.5668924264
2025,TLG2,16908.1034782505,17084.2285647474,16706.7999774097
2026,TLG2,16625.4733027681,16814.6525399632,16407.6050022375
2027,TLG2,16929.4242741865,17137.4550096921,16689.2398631659
2028,TLG2,16551.3665618197,16894.0283812495,16258.6786021426
2029,TLG2,16418.6277594997,16800.1699371191,16099.5999023013
2030,TLG2,16286.9534970516,16707.6696654961,15939.5554300075
2031,TLG2,16156.3352370689,16615.6019923074,15787.6734051706
2032,TLG2,16026.7645106132,16521.8952979551,15640.5246783086
2023,TLG3,36930.4598868754,37455.4485026242,36435.9892689476
2024,TLG3,35762.9853404778,36348.0725086172,35287.8452519503
2025,TLG3,34759.9867458137,35407.4374522435,34293.9585905886
2026,TLG3,33317.7932835686,34030.1674367561,32871.6375771004
2027,TLG3,33906.0248830296,34712.9208492642,33451.6160032772
2028,TLG3,33440.7852871106,34926.3505411919,32368.7747352734
2029,TLG3,32929.7905905581,34557.1329090455,31813.607142321
2030,TLG3,32426.6041909001,34185.7446711434,31245.5695243534
2031,TLG3,31931.1067728073,33808.8953823699,30721.4208503043
2032,TLG3,31443.1808441586,33435.3649180808,30153.5820940477
2023,TLH1,25528.8792126625,25755.2701278253,25260.443706476
2024,TLH1,24388.333115322,24635.4489718345,24100.4141077369
2025,TLH1,23856.2188849522,24124.9758900704,23538.3624078208
2026,TLH1,22881.810583791,23168.4299908027,22545.9833931958
2027,TLH1,23516.7201513945,23835.8729262223,23141.1473351956
2028,TLH1,22907.7432499136,23590.5381768646,22004.8096513539
2029,TLH1,22474.0071998778,23213.4104366421,21484.1707858914
2030,TLH1,22048.4835241056,22867.9527430119,20993.9847687487
2031,TLH1,21631.0167292017,22503.7739512975,20522.0353835783
2032,TLH1,21221.4542658885,22187.0754796782,20058.8345318407
2023,TLH2,22536.2943671742,22883.7741907411,22241.9162586043
2024,TLH2,22029.0987293707,22405.6547916896,21706.6154470263
2025,TLH2,21767.406881713,22178.2676051622,21414.2184303599
2026,TLH2,21220.5754877547,21658.8578175327,20842.1834588761
2027,TLH2,21560.1500718023,22041.8171174632,21130.107729992
2028,TLH2,21336.6837063627,21957.1178234683,20655.8333959372
2029,TLH2,21135.2166400766,21804.6565622463,20384.5550233375
2030,TLH2,20935.6518834162,21652.6336281406,20125.331715926
2031,TLH2,20737.9714742305,21498.4279597861,19877.0456444787
2032,TLH2,20542.157619972,21347.231488796,19622.0688557766
2023,TLH3,21732.9064555894,21963.7217600188,21502.9687111029
2024,TLH3,21139.0926429256,21394.0172557851,20888.3954010918
2025,TLH3,20824.3432424026,21109.7381697585,20551.76838474
2026,TLH3,20018.5661561821,20324.7190286916,19728.9377989208
2027,TLH3,21036.5523862673,21384.6873158867,20701.1917862893
2028,TLH3,20770.7988305847,21533.3357301729,20147.2409194883
2029,TLH3,20706.1164064813,21559.7444330278,20017.2991713494
2030,TLH3,20641.6354101623,21573.5194823916,19903.6683168645
2031,TLH3,20577.3552143606,21576.4481137255,19788.87134953
2032,TLH3,20513.2751937625,21594.5174698364,19663.8850539935
2023,TLI3,7032.52891231942,7108.24842662481,6945.11883007111
2024,TLI3,6954.48502155996,7037.33313147812,6857.9823228756
2025,TLI3,6431.03374893755,6515.18149483398,6332.43397608062
2026,TLI3,6197.00634963791,6285.46070474605,6092.40998563114
2027,TLI3,6000.27370836169,6093.95933194643,5889.06940754571
2028,TLI3,5955.73555148072,6135.43359029615,5713.72896294588
2029,TLI3,5776.98504008733,5971.32817039778,5520.42360964718
2030,TLI3,5603.59939841443,5810.4047493115,5333.68115655594
2031,TLI3,5435.41760970803,5654.14599786738,5155.41535573444
2032,TLI3,5272.28348983758,5501.7508031229,4980.00264204601
2023,TLI4,23057.8996895074,23494.1259597217,22584.6896561282
2024,TLI4,21904.9357955086,22371.3387253907,21438.4495039779
2025,TLI4,21054.4051364593,21562.1376961211,20582.2429373694
2026,TLI4,19764.4163579985,20288.652156192,19268.8627510985
2027,TLI4,19691.5632227893,20274.9090196673,19148.2968223039
2028,TLI4,19110.2759161746,20209.6380326253,18209.1254501
2029,TLI4,18563.7187549559,19702.9118572863,17605.6823646962
2030,TLI4,18032.793222071,19231.3008675804,17041.2358304848
2031,TLI4,17517.0522502749,18772.7962731499,16496.3390894507
2032,TLI4,17016.0615585222,18315.9944543362,15958.5831161743
2023,TLI5,24244.5019322793,24665.1327287966,23881.3035193235
2024,TLI5,23137.0888829258,23562.0662291016,22754.6645416186
2025,TLI5,22432.5932732952,22871.4242136416,22022.4684466884
2026,TLI5,20883.2481164799,21321.1372033328,20473.6961342188
2027,TLI5,20895.78614024,21356.553842574,20453.1415548337
2028,TLI5,21070.1806333802,22244.7797989778,18949.5916034213
2029,TLI5,20661.3605042709,21915.0175380264,18340.2504738273
2030,TLI5,20260.4726231511,21602.4328907004,17703.1682530293
2031,TLI5,19867.3630823392,21282.6645257863,17175.4765808553
2032,TLI5,19481.8809603913,20980.4376182627,16592.2715955721
2023,TLI6,14189.0674787122,14468.0922492825,13886.2858297677
2024,TLI6,13446.7003884104,13712.9255277117,13110.9218090039
2025,TLI6,13233.2741970753,13489.923918673,12849.5913299965
2026,TLI6,12281.381967801,12517.4295139428,11871.0787426829
2027,TLI6,12108.7126078882,12348.2194660379,11657.2804889994
2028,TLI6,11820.4140550686,12731.1749405562,11049.8500312138
2029,TLI6,11538.9910639475,12481.2330475181,10711.9105237102
2030,TLI6,11264.2682526648,12244.7957532622,10382.2476960897
2031,TLI6,10996.08610188,12004.067672895,10064.5461966794
2032,TLI6,10734.2888901243,11767.8284956418,9751.78687712459
2023,TLI7,23102.5572087103,23363.2496080842,22652.012811181
2024,TLI7,22106.867233781,22386.378087373,21619.3018767475
2025,TLI7,21646.4683459322,21955.5917460769,21113.9734001375
2026,TLI7,20457.2440461885,20777.9167696288,19902.1495051969
2027,TLI7,20214.4961328834,20556.8491800656,19614.8631840746
2028,TLI7,19673.1678945058,20666.1690960386,18859.3601682795
2029,TLI7,19174.2322689815,20219.0509891556,18322.9465246882
2030,TLI7,18687.9502618146,19790.7472675351,17801.7901017541
2031,TLI7,18214.0009617504,19358.6280817371,17303.0780367017
2032,TLI7,17752.0715962369,18939.6752326436,16802.8063824481
2023,TLJ1,27642.1319372466,27987.6272623091,27340.4144676784
2024,TLJ1,26781.8771661955,27157.6462968753,26455.1532322704
2025,TLJ1,26349.5549730279,26763.001497271,25989.141757834
2026,TLJ1,25980.6705844433,26429.533402123,25585.8045887172
2027,TLJ1,26622.3220536544,27119.9677071145,26182.4622172876
2028,TLJ1,25704.2011189211,26408.778390062,25093.2116972322
2029,TLJ1,25358.2613328501,26119.1170787618,24707.1730330983
2030,TLJ1,25016.9773746353,25847.4110570803,24310.8654974837
2031,TLJ1,24680.2865838543,25578.2104428498,23930.204286405
2032,TLJ1,24348.1271433999,25301.1138142523,23550.9569951781
2023,TLJ2,28367.4753516739,28582.4131429747,28174.2413346249
2024,TLJ2,27601.75988963,27837.6429755225,27383.0961669452
2025,TLJ2,26784.5194639065,27034.3610754403,26541.6896783298
2026,TLJ2,26205.1032358802,26476.8076059441,25946.283280736
2027,TLJ2,26784.2726740064,27086.490537535,26490.7210280142
2028,TLJ2,25949.6212173193,26472.4949860133,25430.6772092688
2029,TLJ2,25523.499330358,26095.4691825139,24946.1967714662
2030,TLJ2,25104.3748427431,25736.1842430828,24477.5078644769
2031,TLJ2,24692.1328493288,25380.5314968548,24016.8560045023
2032,TLJ2,24286.6603318404,25019.8262621981,23578.0433414303
2023,TLJ3,20036.2077094237,20176.3502573986,19882.0808691
2024,TLJ3,19691.5878430037,19849.6635948005,19519.2004082792
2025,TLJ3,19336.4068420352,19506.193139594,19147.3209493683
2026,TLJ3,18848.9425999046,19032.4612941336,18644.9993402453
2027,TLJ3,19007.5743365027,19213.4576141292,18779.4896815728
2028,TLJ3,18473.7126016585,18870.9184451301,18110.4782438687
2029,TLJ3,18150.3841741883,18591.8511409282,17754.6611352022
2030,TLJ3,17832.7146672754,18311.3379996657,17401.6791126358
2031,TLJ3,17520.6050380298,18026.197810816,17056.6271057904
2032,TLJ3,17213.9579770182,17743.8270313657,16722.6915158257
2023,TLJ4,21553.3528988582,21693.1618938041,21408.6459910122
2024,TLJ4,20985.9132727091,21138.5214869924,20830.3485306343
