year,itl22cd,mean_projection,upper_pi,lower_pi
2028,TLE1,8611.7810776098,8902.1080189697,8327.81810514582
2029,TLE1,8447.15591451701,8755.16279273549,8142.76070333436
2030,TLE1,8285.67777108009,8622.36815211851,7961.42022610432
2031,TLE1,8127.28648801035,8490.02500510795,7783.21750222094
2032,TLE1,7971.92305604049,8351.85799384679,7608.44994905986
2023,TLE2,7165.07528089338,7239.17789488864,7043.49634815181
2024,TLE2,6816.71412203626,6895.79560208608,6685.43375632634
2025,TLE2,6871.8772256876,6958.81939357312,6723.36846440263
2026,TLE2,6934.56973767413,7029.71774694205,6769.816149368
2027,TLE2,6751.05791516344,6925.83574159416,6485.58328197135
2028,TLE2,6641.47469468731,6835.63847517148,6354.02613798387
2029,TLE2,6533.67022983153,6748.1523841816,6221.951408873
2030,TLE2,6427.61564782213,6659.22807243836,6094.66257162065
2031,TLE2,6323.28254454819,6572.18786887031,5969.88341176279
2032,TLE2,6220.64297695454,6484.16927782999,5845.00469209912
2023,TLE3,14767.4082896244,14900.9083568278,14642.9141782039
2024,TLE3,14588.7497017878,14735.2614898704,14449.6795379524
2025,TLE3,13873.8217243356,14026.5257558683,13724.5199668209
2026,TLE3,14424.5848981997,14598.8604001826,14251.663736893
2027,TLE3,14079.6935736387,14450.4335789187,13677.7358590621
2028,TLE3,13890.6978473007,14292.323859136,13452.5263760945
2029,TLE3,13704.2390642836,14139.7819008327,13228.2818923774
2030,TLE3,13520.2831704768,13985.1941464063,13005.4669444503
2031,TLE3,13338.7965688873,13835.0047363167,12787.4464767176
2032,TLE3,13159.7461135044,13689.3280145424,12568.1625430422
2023,TLE4,27088.4785827445,27253.8569508893,26909.9389792707
2024,TLE4,26382.5134782482,26565.1416277334,26191.5495849107
2025,TLE4,25076.2621625058,25270.9331909048,24875.8946494256
2026,TLE4,25418.5695137323,25637.4064734222,25193.1716081903
2027,TLE4,25177.1691846393,25946.4273765841,23775.0075138939
2028,TLE4,24766.5139168981,25593.1677900419,23284.8738731825
2029,TLE4,24362.5566916449,25263.7124017428,22794.8682372102
2030,TLE4,23965.1882596462,24930.921075517,22317.2649572118
2031,TLE4,23574.3011535915,24619.9150949383,21847.3778538515
2032,TLE4,23189.789659029,24295.6332082431,21386.0331070469
2023,TLF1,22407.282234029,22551.7681051752,22285.477949584
2024,TLF1,21575.5265106424,21732.6082003159,21443.7902035269
2025,TLF1,21084.9084858234,21255.590690958,20941.572468633
2026,TLF1,21482.3355039375,21672.746954948,21321.4945711224
2027,TLF1,20807.9903293899,21346.3145556536,20415.2460490942
2028,TLF1,20428.2473049139,21006.2298363425,20005.0107731272
2029,TLF1,20055.4345395526,20685.7307771718,19584.5970520787
2030,TLF1,19689.4255570094,20363.8203207471,19164.9167761811
2031,TLF1,19330.096189163,20042.1607888384,18766.4772126764
2032,TLF1,18977.3245339438,19736.0323998114,18382.3185084829
2023,TLF2,20508.9185334777,20995.7683527118,19937.3989521731
2024,TLF2,20286.2502411085,20811.554020438,19667.2186863453
2025,TLF2,19395.145494623,19940.684851349,18759.7242630186
2026,TLF2,20202.8801282633,20815.3058780939,19494.4838241565
2027,TLF2,19910.7380170693,20711.7998190863,19075.6771551287
2028,TLF2,19743.8844138597,20610.6065489122,18853.7273111702
2029,TLF2,19578.4290574091,20496.6564040093,18608.8291251252
2030,TLF2,19414.3602302962,20389.7188209739,18355.5545863075
2031,TLF2,19251.6663132923,20292.6242605545,18129.7174868985
2032,TLF2,19090.335784539,20187.887125361,17914.1193504608
2023,TLF3,6909.96702873669,6990.57635642104,6825.97382896991
2024,TLF3,6686.30568866492,6773.78612979491,6595.3569308686
2025,TLF3,6443.94229027886,6538.69308985076,6349.34251366381
2026,TLF3,6444.87961392538,6549.12061014157,6339.51592832021
2027,TLF3,6285.41600914635,6594.95697749366,6039.96374644834
2028,TLF3,6144.22099421346,6480.47494766318,5887.82455639155
2029,TLF3,6006.19777128493,6366.79646870448,5733.14477222274
2030,TLF3,5871.27508951296,6251.32017762549,5582.99454106953
2031,TLF3,5739.38329862234,6142.60895696984,5440.26052991097
2032,TLF3,5610.45431295531,6032.28633336648,5297.24131458519
2023,TLG1,13984.7642206764,14188.8755671905,13702.755309427
2024,TLG1,13531.0534852365,13749.8122018626,13231.2694668736
2025,TLG1,13510.1769533556,13742.4296161719,13185.0808608162
2026,TLG1,13808.48928768,14058.899186657,13447.4549346577
