year,itl22cd,mean_projection,upper_pi,lower_pi
2032,TLF1,18593.9211944326,20092.9414393626,17013.9820781851
2023,TLF2,22234.4641572541,22652.0632563274,21810.1612737635
2024,TLF2,21957.378329922,22662.8705805172,21327.8518321252
2025,TLF2,21557.3346138861,22490.1737857642,20681.7962674269
2026,TLF2,20605.2092402759,21700.2127349593,19536.8305810151
2027,TLF2,19703.196587075,20851.5189926674,18562.8242288543
2028,TLF2,19283.1628354022,20510.7526285366,18053.3643748887
2029,TLF2,18241.1448383208,19491.8481500825,16985.6528192981
2030,TLF2,18799.8721824516,20187.7477845031,17388.8484093469
2031,TLF2,18332.0708587745,19798.4132433366,16755.5088587517
2032,TLF2,17986.1962932763,19487.3760144073,16332.5664760468
2023,TLG1,14635.409540947,14947.7522376424,14268.9924971849
2024,TLG1,14534.8823694549,15043.4337638784,13979.7914887739
2025,TLG1,14379.842344671,15070.67080608,13616.4924480915
2026,TLG1,13917.8410723072,14704.5118794502,13038.9077197728
2027,TLG1,13605.5446531723,14454.7398106362,12665.7831298101
2028,TLG1,13054.0568553925,13959.6725123435,12074.5154013223
2029,TLG1,12924.9250202887,13915.4009868525,11878.5986354799
2030,TLG1,13099.848353371,14198.9252461226,11960.6471305755
2031,TLG1,12735.4129690731,13884.6135011096,11549.4400598529
2032,TLG1,12546.8458507117,13761.2514578013,11295.1763487273
2023,TLG2,17867.505671303,18380.7754613835,17394.9829731284
2024,TLG2,17551.4109301995,18349.3986872418,16897.8673165837
2025,TLG2,17358.6382233956,18356.4252207759,16446.4154072437
2026,TLG2,16464.557077916,17523.845153417,15459.0515758348
2027,TLG2,15966.486262391,17106.0376261998,14884.0237127949
2028,TLG2,15858.7062789045,17094.8483738527,14687.2141303095
2029,TLG2,15452.6813637578,16757.8873855859,14204.658555069
2030,TLG2,15592.9754042052,17022.4664354581,14231.7686501725
2031,TLG2,15106.9793268244,16649.3249145628,13634.0107113509
2032,TLG2,14850.3813981187,16476.849322061,13304.722662176
2023,TLK1,27876.4981673236,28475.4904048799,27136.2712595342
2024,TLK1,27376.231205576,28269.0943063195,26258.0739054375
2025,TLK1,26780.8074260131,28066.6504896561,25441.1970847703
2026,TLK1,25090.6922975488,26433.0717632245,23656.9572761718
2027,TLK1,23981.0660254385,25434.6085938656,22481.9405503889
