itl22cd,year,acd_year,nc_year,nc_year_number,mean_projection,upper_pi,lower_pi
TLC2,2032,2032/2033,year_group_6,6,14684.578461873,14640.7505253717,14044.7458964318
TLC2,2023,2023/2024,year_group_7,7,15994.9379083469,16061.9387080343,15885.1131294705
TLC2,2024,2024/2025,year_group_7,7,15701.7119401812,15701.8426914093,15420.0796866082
TLC2,2025,2025/2026,year_group_7,7,15552.6474498575,15484.2194086648,15143.5996678523
TLC2,2026,2026/2027,year_group_7,7,15705.4950347973,15596.5624492344,15170.9524831654
TLC2,2027,2027/2028,year_group_7,7,16015.2549034203,16022.7022474081,15478.0711186294
TLC2,2028,2028/2029,year_group_7,7,15540.3808265348,15454.1440237835,14860.4152209562
TLC2,2029,2029/2030,year_group_7,7,15293.2966237914,15205.9479154939,14608.0539840169
TLC2,2030,2030/2031,year_group_7,7,15014.0943632041,14931.1711096202,14340.364581321
TLC2,2031,2031/2032,year_group_7,7,14191.3991247885,14116.81946905,13551.6013431742
TLC2,2032,2032/2033,year_group_7,7,14293.2504155667,14220.5923541807,13644.367809892
TLC2,2023,2023/2024,year_group_8,8,15776.2929991301,15806.647315157,15759.0865164296
TLC2,2024,2024/2025,year_group_8,8,15971.9492971058,16048.9719279294,15864.3483702837
TLC2,2025,2025/2026,year_group_8,8,15679.1447658863,15691.1972617815,15397.1176943879
TLC2,2026,2026/2027,year_group_8,8,15530.2945174458,15471.1900377953,15121.3049750085
TLC2,2027,2027/2028,year_group_8,8,15682.9224232764,15579.4339980393,15152.6896138412
TLC2,2028,2028/2029,year_group_8,8,15992.2370917219,16001.242171339,15456.5859665503
TLC2,2029,2029/2030,year_group_8,8,15518.0455242405,15437.4390333202,14846.8527412817
TLC2,2030,2030/2031,year_group_8,8,15271.3164415178,15188.8882677903,14585.3415900317
TLC2,2031,2031/2032,year_group_8,8,14992.5154624024,14911.7396827623,14313.0702173359
TLC2,2032,2032/2033,year_group_8,8,14171.0026368923,14094.9114852103,13526.4234227318
TLC2,2023,2023/2024,year_group_9,9,15344.3419191568,15359.1479638927,15290.2606741857
TLC2,2024,2024/2025,year_group_9,9,15734.6008446833,15771.1184677056,15677.9496185928
TLC2,2025,2025/2026,year_group_9,9,15929.7400799628,15994.7909899478,15793.9775748337
TLC2,2026,2026/2027,year_group_9,9,15637.709345968,15633.570463957,15327.4464582983
TLC2,2027,2027/2028,year_group_9,9,15489.2524654465,15415.1474972439,15054.4016983499
TLC2,2028,2028/2029,year_group_9,9,15641.4770201082,15513.6239173719,15084.7298964846
TLC2,2029,2029/2030,year_group_9,9,15949.9742598377,15933.8962301471,15390.1441075412
TLC2,2030,2030/2031,year_group_9,9,15477.0358427681,15378.4867693801,14776.6395489476
TLC2,2031,2031/2032,year_group_9,9,15230.9587932591,15124.5613499612,14528.9328441304
TLC2,2032,2032/2033,year_group_9,9,14952.8946040526,14851.694474123,14259.623849448
TLD1,2023,2023/2024,year_group_10,10,5526.42260618674,5546.79312607124,5516.19298361896
TLD1,2024,2024/2025,year_group_10,10,5520.24353936815,5545.24219511117,5490.63604443522
TLD1,2025,2025/2026,year_group_10,10,5590.39307147877,5617.46391392756,5560.37992511257
TLD1,2026,2026/2027,year_group_10,10,5452.91019503143,5496.90932707604,5380.75657639479
TLD1,2027,2027/2028,year_group_10,10,5532.64854395143,5580.12952324686,5454.83703261415
TLD1,2028,2028/2029,year_group_10,10,5388.0038791609,5446.46576416506,5312.15117791457
TLD1,2029,2029/2030,year_group_10,10,5341.12941430729,5406.26060837044,5265.17877992531
TLD1,2030,2030/2031,year_group_10,10,5407.20473051493,5475.17252691335,5332.49200102367
TLD1,2031,2031/2032,year_group_10,10,5242.55022274727,5315.00004693509,5170.22151493643
TLD1,2032,2032/2033,year_group_10,10,4882.38991610821,4966.00468050895,4793.23997610751
TLD1,2023,2023/2024,year_group_11,11,5378.54338385009,5423.30734580347,5361.19262417635
TLD1,2024,2024/2025,year_group_11,11,5427.07755064182,5480.45415476735,5408.14732962176
TLD1,2025,2025/2026,year_group_11,11,5421.00956105711,5475.01368888992,5391.50532803969
TLD1,2026,2026/2027,year_group_11,11,5489.89805874083,5546.89430212746,5460.23881777143
TLD1,2027,2027/2028,year_group_11,11,5354.88662629451,5423.89279094787,5295.93752306823
TLD1,2028,2028/2029,year_group_11,11,5433.19156860285,5504.73807205061,5371.37648537312
TLD1,2029,2029/2030,year_group_11,11,5291.1470908197,5376.75944379444,5228.96074951005
TLD1,2030,2030/2031,year_group_11,11,5245.11525901216,5336.97677883911,5184.71809665334
TLD1,2031,2031/2032,year_group_11,11,5310.00278043345,5404.36142469793,5251.15328922757
TLD1,2032,2032/2033,year_group_11,11,5148.30816415175,5245.44153655115,5093.16829092566
TLD1,2023,2023/2024,year_group_2,2,4867.13624318142,4880.58128379656,4855.91098382732
TLD1,2024,2024/2025,year_group_2,2,4532.76666972607,4589.04439475033,4479.95706733676
TLD1,2025,2025/2026,year_group_2,2,4592.19918031186,4655.73306730372,4532.31249597458
TLD1,2026,2026/2027,year_group_2,2,4338.84332894321,4404.35035409633,4276.10576074221
TLD1,2027,2027/2028,year_group_2,2,4326.65413497159,4398.29799335001,4257.61325209087
TLD1,2028,2028/2029,year_group_2,2,4335.42202005853,4413.74392090113,4260.00493166444
TLD1,2029,2029/2030,year_group_2,2,4243.74334399728,4360.72014434138,4118.5054710822
TLD1,2030,2030/2031,year_group_2,2,4170.4937801032,4297.57732721847,4038.10350920708
TLD1,2031,2031/2032,year_group_2,2,4098.50854776165,4230.96395889706,3955.75715763524
TLD1,2032,2032/2033,year_group_2,2,4027.76582384919,4168.53323933451,3877.44363599281
TLD1,2023,2023/2024,year_group_3,3,5044.64488352982,5063.925087173,5034.08083503934
TLD1,2024,2024/2025,year_group_3,3,4891.03066665493,4919.60256957838,4876.41462228165
TLD1,2025,2025/2026,year_group_3,3,4555.01955949564,4615.03845880517,4501.21937080482
TLD1,2026,2026/2027,year_group_3,3,4614.74384444424,4681.12020451219,4555.53309697905
TLD1,2027,2027/2028,year_group_3,3,4360.14418322527,4429.51943993321,4299.19638362164
TLD1,2028,2028/2029,year_group_3,3,4347.89514836406,4424.03963981307,4280.77941994355
TLD1,2029,2029/2030,year_group_3,3,4356.70607797426,4439.50117522897,4284.04331021215
TLD1,2030,2030/2031,year_group_3,3,4264.57732018119,4386.06204985909,4139.05007501431
TLD1,2031,2031/2032,year_group_3,3,4190.96814932083,4321.23461859528,4057.56739049749
TLD1,2032,2032/2033,year_group_3,3,4118.62951704562,4257.47819900404,3976.53927282303
TLD1,2023,2023/2024,year_group_4,4,5012.01389686885,5042.51877555877,5000.01206279507
TLD1,2024,2024/2025,year_group_4,4,5074.01771242621,5112.10145720663,5058.39950781005
TLD1,2025,2025/2026,year_group_4,4,4919.5090650785,4964.99668914935,4901.54979328793
TLD1,2026,2026/2027,year_group_4,4,4581.54150766638,4650.58683028475,4528.27692144856
TLD1,2027,2027/2028,year_group_4,4,4641.61354181106,4716.06464694396,4581.71769292554
TLD1,2028,2028/2029,year_group_4,4,4385.5314546813,4461.2098518723,4324.10004288817
TLD1,2029,2029/2030,year_group_4,4,4373.21109888206,4454.48745625005,4306.78398230716
TLD1,2030,2030/2031,year_group_4,4,4382.07333080072,4471.11720152085,4309.74154455088
TLD1,2031,2031/2032,year_group_4,4,4289.4081463014,4415.08247630144,4170.91523657434
TLD1,2032,2032/2033,year_group_4,4,4215.37038043963,4352.26640643021,4085.51807337548
TLD1,2023,2023/2024,year_group_5,5,5080.6075994675,5105.14104491597,5065.89727457158
TLD1,2024,2024/2025,year_group_5,5,5036.40741555945,5086.64096083808,5018.57700392812
TLD1,2025,2025/2026,year_group_5,5,5098.71300426924,5158.98555293141,5078.16515521897
TLD1,2026,2026/2027,year_group_5,5,4943.45236188431,5004.72085520459,4920.13227129685
TLD1,2027,2027/2028,year_group_5,5,4603.83991319731,4679.03713394211,4549.69626330119
TLD1,2028,2028/2029,year_group_5,5,4664.20431849614,4745.2797803667,4603.91311751335
TLD1,2029,2029/2030,year_group_5,5,4406.87587744414,4489.00912884516,4345.34143495644
TLD1,2030,2030/2031,year_group_5,5,4394.49555835756,4482.79622901388,4327.55268986931
TLD1,2031,2031/2032,year_group_5,5,4403.40092284216,4499.14140723191,4331.58605229108
TLD1,2032,2032/2033,year_group_5,5,4310.28473601991,4441.97074121112,4190.27939783227
TLD1,2023,2023/2024,year_group_6,6,5229.36736084671,5242.03505523744,5216.03838048343
TLD1,2024,2024/2025,year_group_6,6,5092.65163004123,5122.3441439576,5073.18045670326
TLD1,2025,2025/2026,year_group_6,6,5048.34666568007,5097.35905775983,5027.75886054415
TLD1,2026,2026/2027,year_group_6,6,5110.79995530961,5170.01427822544,5087.4272715134
TLD1,2027,2027/2028,year_group_6,6,4955.17125381223,5018.95999508333,4930.07973104466
TLD1,2028,2028/2029,year_group_6,6,4614.7537237181,4690.31155697924,4559.50748636464
TLD1,2029,2029/2030,year_group_6,6,4675.26122818939,4758.26792056064,4613.59551183787
TLD1,2030,2030/2031,year_group_6,6,4417.32276726262,4500.42772309856,4353.70277514507
TLD1,2031,2031/2032,year_group_6,6,4404.91309953246,4494.77826800628,4336.15689323225
TLD1,2032,2032/2033,year_group_6,6,4413.8395749728,4508.20559334386,4340.48249882516
TLD1,2023,2023/2024,year_group_7,7,5417.41212755072,5459.04068183653,5358.30473119129
TLD1,2024,2024/2025,year_group_7,7,5496.63138534514,5541.61032680716,5432.89435442882
TLD1,2025,2025/2026,year_group_7,7,5352.92834729846,5409.66118188791,5289.00363427696
TLD1,2026,2026/2027,year_group_7,7,5306.35903196264,5375.53911142501,5243.64369269412
TLD1,2027,2027/2028,year_group_7,7,5372.00420244081,5440.78714626018,5307.62325278581
TLD1,2028,2028/2029,year_group_7,7,5208.42158410808,5282.27311459485,5145.88739907534
TLD1,2029,2029/2030,year_group_7,7,4850.60589610599,4932.19701910153,4769.53532790479
TLD1,2030,2030/2031,year_group_7,7,4914.20583567342,4998.51163572611,4827.27917183031
TLD1,2031,2031/2032,year_group_7,7,4643.08458103889,4726.79707019977,4555.65064628005
TLD1,2032,2032/2033,year_group_7,7,4630.04067640943,4718.43418996362,4537.85535607327
TLD1,2023,2023/2024,year_group_8,8,5558.75249896298,5568.07212712523,5550.8422366399
TLD1,2024,2024/2025,year_group_8,8,5422.0477497182,5466.00561608688,5360.50808016329
TLD1,2025,2025/2026,year_group_8,8,5501.3347945923,5546.50683510511,5435.77842731597
TLD1,2026,2026/2027,year_group_8,8,5357.5087913783,5413.1762247722,5293.49365227635
TLD1,2027,2027/2028,year_group_8,8,5310.89962717268,5379.29848806758,5246.29788139702
TLD1,2028,2028/2029,year_group_8,8,5376.60096952781,5450.53489439907,5312.34414284387
TLD1,2029,2029/2030,year_group_8,8,5212.87837528151,5288.20204679639,5151.86613529019
TLD1,2030,2030/2031,year_group_8,8,4854.75650818576,4937.44320659891,4774.6230071422
TLD1,2031,2031/2032,year_group_8,8,4918.41086954773,5006.66746453948,4831.96396523405
TLD1,2032,2032/2033,year_group_8,8,4647.05761932776,4734.17735209591,4561.08354982687
TLD1,2023,2023/2024,year_group_9,9,5493.85047617167,5514.18905069295,5465.40392671738
TLD1,2024,2024/2025,year_group_9,9,5563.66461347207,5587.91106345672,5533.60768486551
TLD1,2025,2025/2026,year_group_9,9,5426.83906205408,5467.98258558794,5354.27088645572
TLD1,2026,2026/2027,year_group_9,9,5506.19617067784,5550.92587047377,5430.06443044293
TLD1,2027,2027/2028,year_group_9,9,5362.24307243716,5417.52140718819,5283.20947041336
TLD1,2028,2028/2029,year_group_9,9,5315.5927210134,5379.8170416552,5237.71947886245
TLD1,2029,2029/2030,year_group_9,9,5381.35212181188,5448.18959513829,5306.06156551413
TLD1,2030,2030/2031,year_group_9,9,5217.48485047647,5287.52602693465,5143.93799944981
TLD1,2031,2031/2032,year_group_9,9,4859.0465210774,4937.35473193322,4769.39739262795
TLD1,2032,2032/2033,year_group_9,9,4922.75713202272,5007.2132817551,4827.1574154151
TLD3,2023,2023/2024,year_group_10,10,35667.2722716588,35722.8885208181,35594.3419083823
TLD3,2024,2024/2025,year_group_10,10,36187.0668194902,36265.3859479329,36083.5128576374
TLD3,2025,2025/2026,year_group_10,10,36829.0242092014,36935.1339694456,36700.7715200132
TLD3,2026,2026/2027,year_group_10,10,37059.208970278,37409.2291004872,36853.9730601323
TLD3,2027,2027/2028,year_group_10,10,36804.8500448962,37175.0051141717,36568.5144600573
TLD3,2028,2028/2029,year_group_10,10,36247.5819728898,36711.5259350227,36025.4409558675
TLD3,2029,2029/2030,year_group_10,10,36254.413474376,36780.4750777779,36014.7415768035
TLD3,2030,2030/2031,year_group_10,10,36385.2718013941,37066.160082475,36129.5430091793
TLD3,2031,2031/2032,year_group_10,10,35553.5223540222,36337.6869183673,35305.7500032334
TLD3,2032,2032/2033,year_group_10,10,34483.3527743852,35318.2265992868,34158.290786488
TLD3,2023,2023/2024,year_group_11,11,35108.0738075179,35233.1431702924,35054.3123315432
TLD3,2024,2024/2025,year_group_11,11,35643.9961124429,35781.294379838,35556.3171767235
TLD3,2025,2025/2026,year_group_11,11,36163.4514467634,36311.1253110271,36041.0750455091
TLD3,2026,2026/2027,year_group_11,11,36804.9899005296,36968.3289709754,36671.610915814
TLD3,2027,2027/2028,year_group_11,11,37035.0244449845,37402.5344073722,36818.2736069262
TLD3,2028,2028/2029,year_group_11,11,36780.8315120789,37167.3587315917,36541.1180253782
TLD3,2029,2029/2030,year_group_11,11,36223.9271084873,36707.1588829772,35994.5525704197
TLD3,2030,2030/2031,year_group_11,11,36230.7541517937,36773.4518334958,35998.2124801794
TLD3,2031,2031/2032,year_group_11,11,36361.527081778,37051.6996594904,36123.6215131951
TLD3,2032,2032/2033,year_group_11,11,35530.3204270373,36323.0974632299,35286.3507327229
TLD3,2023,2023/2024,year_group_2,2,35590.3881045334,36020.6251802446,35510.44387884
TLD3,2024,2024/2025,year_group_2,2,34519.1088569334,34965.9772396302,34229.3812369639
TLD3,2025,2025/2026,year_group_2,2,34158.7669010775,34636.5276371004,33849.8429290809
TLD3,2026,2026/2027,year_group_2,2,33452.2719357115,33960.2514578645,33128.0054828655
TLD3,2027,2027/2028,year_group_2,2,32249.135563598,32788.866081247,31914.303868838
TLD3,2028,2028/2029,year_group_2,2,33242.5998651722,33829.686250744,32877.7157387272
TLD3,2029,2029/2030,year_group_2,2,32636.6668225337,33435.89836208,31947.9895356734
TLD3,2030,2030/2031,year_group_2,2,32278.7708301611,33142.8368319241,31543.1892650911
TLD3,2031,2031/2032,year_group_2,2,31924.7995505066,32862.4420625984,31120.5013945267
TLD3,2032,2032/2033,year_group_2,2,31574.7099448935,32580.0362578917,30716.613400097
TLD3,2023,2023/2024,year_group_3,3,36598.6256464814,36978.4146960486,36517.8284881828
TLD3,2024,2024/2025,year_group_3,3,35761.9990349725,36302.2846513665,35660.7175271583
TLD3,2025,2025/2026,year_group_3,3,34685.5542570641,35306.2719871013,34401.5909981243
TLD3,2026,2026/2027,year_group_3,3,34323.4747922455,34964.5136832131,34019.2578937943
TLD3,2027,2027/2028,year_group_3,3,33613.5732256926,34279.7755033461,33291.9471195608
TLD3,2028,2028/2029,year_group_3,3,32404.6355301527,33063.489616942,32082.9683330897
TLD3,2029,2029/2030,year_group_3,3,33402.8901513112,34094.4657029543,33050.3372833363
TLD3,2030,2030/2031,year_group_3,3,32794.0354003474,33691.0587962474,32143.67320997
TLD3,2031,2031/2032,year_group_3,3,32434.413693041,33401.6219946453,31728.1269507022
TLD3,2032,2032/2033,year_group_3,3,32078.7356227645,33099.8200404909,31321.4595751329
TLD3,2023,2023/2024,year_group_4,4,36623.9011248836,36765.4389084265,36541.624295668
TLD3,2024,2024/2025,year_group_4,4,36756.0930974131,37226.1464315216,36640.5732089645
TLD3,2025,2025/2026,year_group_4,4,35915.866857296,36524.5328876578,35783.1873362712
TLD3,2026,2026/2027,year_group_4,4,34834.7906209038,35493.7510272331,34539.4897128978
TLD3,2027,2027/2028,year_group_4,4,34471.1532907459,35154.6594675088,34166.4897591317
TLD3,2028,2028/2029,year_group_4,4,33758.1973365453,34458.1517938984,33433.764352901
TLD3,2029,2029/2030,year_group_4,4,32544.0581249953,33237.9560071904,32214.7124736997
TLD3,2030,2030/2031,year_group_4,4,33546.6077875057,34287.9161615574,33174.8815744267
TLD3,2031,2031/2032,year_group_4,4,32935.1334079648,33889.8287083715,32309.2954455784
TLD3,2032,2032/2033,year_group_4,4,32573.964409946,33560.1423818095,31887.0890756702
TLD3,2023,2023/2024,year_group_5,5,36779.5534318522,36984.3725732982,36695.1328275104
TLD3,2024,2024/2025,year_group_5,5,36786.485192821,37172.3940941977,36673.4837908453
TLD3,2025,2025/2026,year_group_5,5,36919.2640036715,37506.0835877291,36787.7165266997
TLD3,2026,2026/2027,year_group_5,5,36075.307756758,36737.9431332636,35936.7576130849
TLD3,2027,2027/2028,year_group_5,5,34989.4323109189,35712.982483451,34698.6348061136
TLD3,2028,2028/2029,year_group_5,5,34624.1806896949,35368.9678787476,34316.9699544599
TLD3,2029,2029/2030,year_group_5,5,33908.0597182314,34646.2197910551,33590.7422716699
TLD3,2030,2030/2031,year_group_5,5,32688.5305922814,33423.5681752872,32364.7171621877
TLD3,2031,2031/2032,year_group_5,5,33695.530862112,34490.6423316958,33341.8668100264
TLD3,2032,2032/2033,year_group_5,5,33081.3419713091,34090.5824751224,32444.3874432127
