itl22cd,year,nc_year,pupil_number,upper_pi,lower_pi
TLC1,2027,year_group_4,12638.5608642198,12714.4118828306,12328.2397030865
TLC1,2028,year_group_4,12299.6491611163,12378.8681590597,11994.6053552397
TLC1,2029,year_group_4,11695.2894497511,11776.2972399474,11402.0659047969
TLC1,2030,year_group_4,12121.5666011188,12209.79299778,11807.3246205426
TLC1,2031,year_group_4,11651.7027233196,11828.6407890483,11301.5207936033
TLC1,2032,year_group_4,11415.3570802509,11600.6002553926,11048.548661148
TLC1,2023,year_group_5,13920.9758357707,13992.1226880299,13804.9325117294
TLC1,2024,year_group_5,13708.6695833889,13829.0364386636,13586.6470353388
TLC1,2025,year_group_5,13830.0376841106,13895.1318624397,13593.4520941537
TLC1,2026,year_group_5,13509.0999686132,13547.1045416376,13143.6307562636
TLC1,2027,year_group_5,13066.2848628648,13110.3491982913,12688.8246452435
TLC1,2028,year_group_5,12734.59035826,12782.3815770625,12364.2754827278
TLC1,2029,year_group_5,12393.1035582193,12443.0561015314,12025.1704453979
TLC1,2030,year_group_5,11784.1518400644,11836.9012210934,11424.8288392939
TLC1,2031,year_group_5,12213.6679028561,12274.9232934221,11833.6694448346
TLC1,2032,year_group_5,11740.2339357929,11885.6920798146,11331.7801706521
TLC1,2023,year_group_6,14217.6338319639,14340.0644366084,14195.70503007
TLC1,2024,year_group_6,13925.5144597625,14052.4532607753,13806.106054274
TLC1,2025,year_group_6,13713.1389896577,13867.1438530934,13590.3805056021
TLC1,2026,year_group_6,13834.5466597443,13926.4267870307,13600.4612483695
TLC1,2027,year_group_6,13513.5043096557,13575.6992581348,13158.2736740834
TLC1,2028,year_group_6,13070.5448339087,13145.6568246656,12707.3659974496
TLC1,2029,year_group_6,12738.7421877013,12815.9004529806,12376.2864331847
TLC1,2030,year_group_6,12397.1440534982,12480.1784767113,12038.263168111
TLC1,2031,year_group_6,11787.9938002039,11871.0967498703,11443.5627187299
TLC1,2032,year_group_6,12217.6498971377,12308.7394252405,11854.7875456266
TLC1,2023,year_group_7,14115.305451787,14146.2392942311,14051.2334215035
TLC1,2024,year_group_7,13887.3603446012,14009.6010036522,13830.76020349
TLC1,2025,year_group_7,13602.0268613124,13718.3777414286,13467.8447102423
TLC1,2026,year_group_7,13394.584841314,13546.1147472781,13255.3266528574
TLC1,2027,year_group_7,13513.1722295544,13607.8807562019,13268.9242313415
TLC1,2028,year_group_7,13199.587644788,13259.4984010042,12842.0081635571
TLC1,2029,year_group_7,12766.9180507853,12835.0043993705,12395.7608061949
TLC1,2030,year_group_7,12442.8231299543,12513.9792223976,12079.7290628478
TLC1,2031,year_group_7,12109.1602688349,12184.3793384407,11750.1377752139
TLC1,2032,year_group_7,11514.1604839562,11589.4829059464,11167.1852297393
TLC1,2023,year_group_8,14229.7125153741,14264.5175471544,14200.1869216256
TLC1,2024,year_group_8,14074.4684076535,14123.1219866982,14013.697227936
TLC1,2025,year_group_8,13847.1827693281,13981.9761522753,13793.3176378105
TLC1,2026,year_group_8,13562.67478543,13692.7623662187,13428.5192531055
