year,itl22cd,mean_projection,upper_pi,lower_pi
2029,TLJ4,20801.6690172765,22110.1768918634,19383.7439734931
2030,TLJ4,20154.5403529477,21532.0755164703,18645.6248536417
2031,TLJ4,19459.2591260331,20893.3820939438,17892.5296167761
2032,TLJ4,19974.7541735854,21549.4971414547,18255.975201279
2023,TLJ1,30045.1444681759,30954.0333663442,29152.5269012638
2024,TLJ1,30054.155276898,31336.5016916038,28848.4218326034
2025,TLJ1,29511.7970202858,31324.2005666435,28029.46888296
2026,TLJ1,29103.1204850927,31216.0414868554,27380.1898064157
2027,TLJ1,28407.4703455365,30935.6652897696,26364.5812178846
2028,TLJ1,26291.744442786,28953.2340289853,24127.7806455226
2029,TLJ1,25060.2581067977,27822.4362261376,22828.4525825931
2030,TLJ1,24255.7366986036,27207.4187983922,21891.0073377893
2031,TLJ1,23528.1727650702,26620.1366411826,21013.7814431837
2032,TLJ1,23718.1295048178,27088.5459780121,20984.0027855774
2023,TLJ2,30612.4578420428,31354.3173279356,29795.0414473596
2024,TLJ2,30348.1222614934,31321.6901655391,29217.9926290466
2025,TLJ2,30061.3842413274,31269.63995435,28380.0435938902
2026,TLJ2,29551.5009168243,30824.0851566171,27293.7732727945
2027,TLJ2,28653.6255721865,30183.1010305157,26176.9553218564
2028,TLJ2,26635.2061580538,28210.1355457418,24078.2212920999
2029,TLJ2,25507.6259980991,27156.5807520653,22851.2929296103
2030,TLJ2,24362.1165609395,26076.1367295456,21629.1641240959
2031,TLJ2,23459.2931942757,25267.6142751809,20620.3382734905
2032,TLJ2,23599.7170681095,25584.6860506503,20538.0004709132
2023,TLJ3,22104.3948316167,22468.7225180532,21650.5459767839
2024,TLJ3,22125.1787965841,22637.9027427001,21528.3090008916
2025,TLJ3,21891.9709647744,22593.7405735013,21145.8731725473
2026,TLJ3,21562.77816086,22508.0007286662,20652.1053928144
2027,TLJ3,21059.1246667369,22059.7521849719,19956.6662759225
2028,TLJ3,19280.2196046006,20284.4017474424,18164.1451970548
2029,TLJ3,18697.6287338936,19782.3011131678,17528.0394289182
2030,TLJ3,18117.1931278725,19270.8868172812,16893.5349160101
2031,TLJ3,17426.5523198279,18645.8455164238,16159.2276945114
2032,TLJ3,17340.4564087267,18660.9858972515,15972.0202134038
2023,TLK3,5845.78518121608,5961.40873378276,5696.01302863638
2024,TLK3,5892.27088601205,6068.06918314503,5691.36767514771
2025,TLK3,5839.63737636096,6101.34505323563,5574.25060703384
2026,TLK3,5700.80618936122,6016.77341604337,5372.22988260547
