gss_code,gss_name,year_ending_date,measure,geography,source,sex,source_url,value
TLJ4,Kent,1992-07-01,annual_births,ITL221,ONS ad hoc,persons,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/adhocs/009628birthsanddeathsbylowersuperoutputarealsoaenglandandwales1991to1992to2016to2017,20764
TLJ4,Kent,1993-07-01,annual_births,ITL221,ONS ad hoc,persons,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/adhocs/009628birthsanddeathsbylowersuperoutputarealsoaenglandandwales1991to1992to2016to2017,20013
TLJ4,Kent,1994-07-01,annual_births,ITL221,ONS ad hoc,persons,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/adhocs/009628birthsanddeathsbylowersuperoutputarealsoaenglandandwales1991to1992to2016to2017,20165
TLJ4,Kent,1995-07-01,annual_births,ITL221,ONS ad hoc,persons,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/adhocs/009628birthsanddeathsbylowersuperoutputarealsoaenglandandwales1991to1992to2016to2017,19296
TLJ4,Kent,1996-07-01,annual_births,ITL221,ONS ad hoc,persons,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/adhocs/009628birthsanddeathsbylowersuperoutputarealsoaenglandandwales1991to1992to2016to2017,19077
TLJ4,Kent,1997-07-01,annual_births,ITL221,ONS ad hoc,persons,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/adhocs/009628birthsanddeathsbylowersuperoutputarealsoaenglandandwales1991to1992to2016to2017,19396
TLJ4,Kent,1998-07-01,annual_births,ITL221,ONS ad hoc,persons,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/adhocs/009628birthsanddeathsbylowersuperoutputarealsoaenglandandwales1991to1992to2016to2017,19099
TLJ4,Kent,1999-07-01,annual_births,ITL221,ONS ad hoc,persons,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/adhocs/009628birthsanddeathsbylowersuperoutputarealsoaenglandandwales1991to1992to2016to2017,18875
TLJ4,Kent,2000-07-01,annual_births,ITL221,ONS ad hoc,persons,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/adhocs/009628birthsanddeathsbylowersuperoutputarealsoaenglandandwales1991to1992to2016to2017,18125
TLJ4,Kent,2001-07-01,annual_births,ITL221,ONS ad hoc,persons,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/adhocs/009628birthsanddeathsbylowersuperoutputarealsoaenglandandwales1991to1992to2016to2017,17764
